date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:22:08	712893/712893	---MCZ	200	added ('OK')	text/html	etag:W/%2207e5bf099d0536ab7bc03f307bd63253%22	https://hunderresidency0.wixsite.com/homestay-3	C:/My%20Web%20Sites/hhhhhhhhhhhh/hunderresidency0.wixsite.com/homestay-3.html	(from )
15:22:09	483/483	---M--	200	added ('OK')	text/plain	etag:W/%221e3-Zvhxyb0e/s0tfh8v+u1GjxNb5Ww%22	https://hunderresidency0.wixsite.com/robots.txt		(from )
15:22:09	13901/13901	---M-Z	200	added ('OK')	application/javascript	etag:W/%22b95fb0a78cb7b391ebc8875ea432eda3%22	https://static.parastorage.com/services/wix-thunderbolt/dist/webpack-runtime.2fd5d3a5.bundle.min.js	C:/My%20Web%20Sites/hhhhhhhhhhhh/static.parastorage.com/services/wix-thunderbolt/dist/webpack-runtime.2fd5d3a5.bundle.min.js	(from https://hunderresidency0.wixsite.com/homestay-3)
15:22:10	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/hhhhhhhhhhhh/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://hunderresidency0.wixsite.com/homestay-3)
15:22:10	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/hhhhhhhhhhhh/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://hunderresidency0.wixsite.com/homestay-3)
15:22:11	2508/2508	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Apr%202025%2009:52:10%20GMT	https://hunderresidency0.wixsite.com/s	C:/My%20Web%20Sites/hhhhhhhhhhhh/hunderresidency0.wixsite.com/s.4.delayed	(from https://hunderresidency0.wixsite.com/homestay-3)
15:22:12	2508/2508	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Apr%202025%2009:52:11%20GMT	https://hunderresidency0.wixsite.com/t	C:/My%20Web%20Sites/hhhhhhhhhhhh/hunderresidency0.wixsite.com/t.5.delayed	(from https://hunderresidency0.wixsite.com/homestay-3)
15:22:13	40949/40949	---M--	200	added ('OK')	image/png	etag:%22d6793e194624ea8a9de511b9e7c63bf0%22	https://static.parastorage.com/services/editor-elements-library/dist/thunderbolt/media/sloppyframe.d2412ec4.png	C:/My%20Web%20Sites/hhhhhhhhhhhh/static.parastorage.com/services/editor-elements-library/dist/thunderbolt/media/sloppyframe.d2412ec4.png	(from https://hunderresidency0.wixsite.com/homestay-3)
15:22:14	2508/2508	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Apr%202025%2009:52:12%20GMT	https://hunderresidency0.wixsite.com/	C:/My%20Web%20Sites/hhhhhhhhhhhh/hunderresidency0.wixsite.com/index.html	(from https://hunderresidency0.wixsite.com/homestay-3)
15:22:14	410444/410444	---MCZ	200	added ('OK')	text/html	etag:W/%22b5fec7b2f320d343e059b8f3fc68a461%22	https://hunderresidency0.wixsite.com/homestay-3/team-4	C:/My%20Web%20Sites/hhhhhhhhhhhh/hunderresidency0.wixsite.com/homestay-3/team-4.html	(from https://hunderresidency0.wixsite.com/homestay-3)
